"ID"	"SAC_Processing_Level_Abbreviation"	"Provider_Processing_Level_Abbreviation"	"Processing_Level_Name"	"Default_File_Format"	"Default_Projection"	"Default_Resampling_Algorithm"	"ID"	"SAC_Sensor_Abbreviation"	"Sensor_Abbreviation"
431	"L3Ba"	"MC-SAR"	"Mosaic of orthorectified images"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
432	"L3Bb"	"ADM-SAR"	"Ascending, Descending image merge"	"TIF"	"UTM"	"ML"	40	"SAR"	"SAR-TDX2"
433	"L4Ad"	"ELEVATION-DSM"	"Radargrammetrically derived Digital Surface Model"	"TIF"	"UTM"	"BL"	40	"SAR"	"SAR-TDX2"
434	"L4At"	"TanDEM-X-DEM"	"Interferrometrically derived Digital Surface Model from the TanDEM-X mission"	"TIF"	"UTM"	"BL"	40	"SAR"	"SAR-TDX2"
435	"L1A"	"Level-1-Radiometric"	"RapidEyeRadiometric Product - Radiometric corrections applied to the data. Bands not aligned. On-board spacecraft attitude and ephemeris applied to the data. "	"NITF"	"ORBIT"	"NA"	41	"REI"	"REIS-1"
436	"L1B"	"Level-1-Basic"	"RapidEye Basic Product - Radiometric and sensor corrections applied to the data. Bands aligned. On-board spacecraft attitude and ephemeris applied to the data. (Source RapidEye)"	"TIF"	"ORBIT"	"NA"	41	"REI"	"REIS-1"
437	"L3A"	"Level-3-A"	"RapidEye Ortho Product – Radiometric, sensor and geometric corrections applied to the data. All products have been rectified using a DTED Level 1 SRTM DEM or better, and with appropriate ground control can meet an accuracy of 6m 1-sigma (12.7 m CE90). The highest accuracy achieved by these products will meet 1:25,000 NMAS standards (Source RapidEye)"	"TIF"	"UTM"	"CC"	41	"REI"	"REIS-1"
438	"L1A"	"Level-1-Radiometric"	"RapidEyeRadiometric Product - Radiometric corrections applied to the data. Bands not aligned. On-board spacecraft attitude and ephemeris applied to the data. "	"NITF"	"ORBIT"	"NA"	42	"REI"	"REIS-2"
439	"L1B"	"Level-1-Basic"	"RapidEye Basic Product - Radiometric and sensor corrections applied to the data. Bands aligned. On-board spacecraft attitude and ephemeris applied to the data. (Source RapidEye)"	"TIF"	"ORBIT"	"NA"	42	"REI"	"REIS-2"
440	"L3A"	"Level-3-A"	"RapidEye Ortho Product – Radiometric, sensor and geometric corrections applied to the data. All products have been rectified using a DTED Level 1 SRTM DEM or better, and with appropriate ground control can meet an accuracy of 6m 1-sigma (12.7 m CE90). The highest accuracy achieved by these products will meet 1:25,000 NMAS standards (Source RapidEye)"	"TIF"	"UTM"	"CC"	42	"REI"	"REIS-2"
441	"L1A"	"Level-1-Radiometric"	"RapidEyeRadiometric Product - Radiometric corrections applied to the data. Bands not aligned. On-board spacecraft attitude and ephemeris applied to the data. "	"NITF"	"ORBIT"	"NA"	43	"REI"	"REIS-3"
442	"L1B"	"Level-1-Basic"	"RapidEye Basic Product - Radiometric and sensor corrections applied to the data. Bands aligned. On-board spacecraft attitude and ephemeris applied to the data. (Source RapidEye)"	"TIF"	"ORBIT"	"NA"	43	"REI"	"REIS-3"
443	"L3A"	"Level-3-A"	"RapidEye Ortho Product – Radiometric, sensor and geometric corrections applied to the data. All products have been rectified using a DTED Level 1 SRTM DEM or better, and with appropriate ground control can meet an accuracy of 6m 1-sigma (12.7 m CE90). The highest accuracy achieved by these products will meet 1:25,000 NMAS standards (Source RapidEye)"	"TIF"	"UTM"	"CC"	43	"REI"	"REIS-3"
444	"L1A"	"Level-1-Radiometric"	"RapidEyeRadiometric Product - Radiometric corrections applied to the data. Bands not aligned. On-board spacecraft attitude and ephemeris applied to the data. "	"NITF"	"ORBIT"	"NA"	44	"REI"	"REIS-4"
445	"L1B"	"Level-1-Basic"	"RapidEye Basic Product - Radiometric and sensor corrections applied to the data. Bands aligned. On-board spacecraft attitude and ephemeris applied to the data. (Source RapidEye)"	"TIF"	"ORBIT"	"NA"	44	"REI"	"REIS-4"
446	"L3A"	"Level-3-A"	"RapidEye Ortho Product – Radiometric, sensor and geometric corrections applied to the data. All products have been rectified using a DTED Level 1 SRTM DEM or better, and with appropriate ground control can meet an accuracy of 6m 1-sigma (12.7 m CE90). The highest accuracy achieved by these products will meet 1:25,000 NMAS standards (Source RapidEye)"	"TIF"	"UTM"	"CC"	44	"REI"	"REIS-4"
447	"L1A"	"Level-1-Radiometric"	"RapidEyeRadiometric Product - Radiometric corrections applied to the data. Bands not aligned. On-board spacecraft attitude and ephemeris applied to the data. "	"NITF"	"ORBIT"	"NA"	45	"REI"	"REIS-5"
448	"L1B"	"Level-1-Basic"	"RapidEye Basic Product - Radiometric and sensor corrections applied to the data. Bands aligned. On-board spacecraft attitude and ephemeris applied to the data. (Source RapidEye)"	"TIF"	"ORBIT"	"NA"	45	"REI"	"REIS-5"
449	"L3A"	"Level-3-A"	"RapidEye Ortho Product – Radiometric, sensor and geometric corrections applied to the data. All products have been rectified using a DTED Level 1 SRTM DEM or better, and with appropriate ground control can meet an accuracy of 6m 1-sigma (12.7 m CE90). The highest accuracy achieved by these products will meet 1:25,000 NMAS standards (Source RapidEye)"	"TIF"	"UTM"	"CC"	45	"REI"	"REIS-5"
450	"L0"	"Level-0-RAW"	"RAW Signal Data"	"CEOS"	"ORBIT"	"NA"	46	"SAR"	"SAR-RS1"
451	"L1A"	"Level-1-SLC"	"Single Look Complex Image. This is pre-processed but retains the data in complex (i.e. phase-preserving) form. The product is single-look (no speckle reduction) and in slant range. Full frame (SLCI) format. (Source Eurimage)"	"CEOS"	"ORBIT"	"NA"	46	"SAR"	"SAR-RS1"
452	"L2Aa"	"Level-1-SGF-SAR"	"Georeferenced Fine Resolution product (Path Image)"	"TIF"	"ORBIT"	"ML"	46	"SAR"	"SAR-RS1"
453	"L2Ab"	"Level-1-SGX-SAR"	"Georeferenced Extra Fine Resolution product (Path Image Plus)"	"TIF"	"ORBIT"	"ML"	46	"SAR"	"SAR-RS1"
454	"L2Ac"	"Level-1-SCN"	"ScanSAR Narrow beam product"	"TIF"	"ORBIT"	"ML"	46	"SAR"	"SAR-RS1"
455	"L2Ba"	"Level-2-SSG-SAR"	"Systematically Geocoded product (Map Image) (Source MDA)"	"TIF"	"UTM"	"ML"	46	"SAR"	"SAR-RS1"
456	"L2Bb"	"Level-2-SPG-SAR"	"Precision Geocoded product (Precision Map Image)"	"TIF"	"UTM"	"ML"	46	"SAR"	"SAR-RS1"
457	"L1A"	"Level-1-SLC"	"Single Look Complex Image. This is pre-processed but retains the data in complex (i.e. phase-preserving) form. The product is single-look (no speckle reduction) and in slant range. Full frame (SLCI) format. (Source Eurimage)"	"TIF"	"ORBIT"	"NA"	47	"SAR"	"SAR-RS2"
458	"L2Aa"	"Level-1-SGF-SAR"	"Georeferenced Fine Resolution product (Path Image)"	"TIF"	"ORBIT"	"NA"	47	"SAR"	"SAR-RS2"
459	"L2Ab"	"Level-1-SGX-SAR"	"Georeferenced Extra Fine Resolution product (Path Image Plus)"	"TIF"	"ORBIT"	"ML"	47	"SAR"	"SAR-RS2"
460	"L2Ac"	"Level-1-SCN"	"ScanSAR Narrow beam product"	"TIF"	"ORBIT"	"ML"	47	"SAR"	"SAR-RS2"
461	"L2Ad"	"Level-1-SCW"	"ScanSAR Wide"	"TIF"	"ORBIT"	"ML"	47	"SAR"	"SAR-RS2"
462	"L2Ba"	"Level-2-SSG-SAR"	"Systematically Geocoded product (Map Image) (Source MDA)"	"TIF"	"UTM"	"ML"	47	"SAR"	"SAR-RS2"
463	"L2Bb"	"Level-2-SPG-SAR"	"Precision Geocoded product (Precision Map Image)"	"TIF"	"UTM"	"ML"	47	"SAR"	"SAR-RS2"
464	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"SupStr"	"ORBIT"	"NA"	48	"LI3"	"LISS-3-IRS-P-6"
465	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"SupStr"	"ORBIT"	"NA"	48	"LI3"	"LISS-3-IRS-P-6"
466	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"SupStr"	"UTM"	"MTF"	48	"LI3"	"LISS-3-IRS-P-6"
467	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	48	"LI3"	"LISS-3-IRS-P-6"
468	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	48	"LI3"	"LISS-3-IRS-P-6"
469	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	48	"LI3"	"LISS-3-IRS-P-6"
470	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"SupStr"	"ORBIT"	"NA"	49	"LI4"	"LISS-4-IRS-P-6"
471	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"SupStr"	"ORBIT"	"NA"	49	"LI4"	"LISS-4-IRS-P-6"
472	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"SupStr"	"UTM"	"MTF"	49	"LI4"	"LISS-4-IRS-P-6"
473	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	49	"LI4"	"LISS-4-IRS-P-6"
474	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	49	"LI4"	"LISS-4-IRS-P-6"
475	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	49	"LI4"	"LISS-4-IRS-P-6"
476	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"SupStr"	"ORBIT"	"NA"	50	"AWF"	"AwiFS-IRS-P-6"
477	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"SupStr"	"ORBIT"	"NA"	50	"AWF"	"AwiFS-IRS-P-6"
478	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"SupStr"	"UTM"	"MTF"	50	"AWF"	"AwiFS-IRS-P-6"
479	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	50	"AWF"	"AwiFS-IRS-P-6"
480	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	50	"AWF"	"AwiFS-IRS-P-6"
481	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	50	"AWF"	"AwiFS-IRS-P-6"
482	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"SupStr"	"ORBIT"	"NA"	51	"LI3"	"LISS-3-R-2"
483	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"SupStr"	"ORBIT"	"NA"	51	"LI3"	"LISS-3-R-2"
484	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"SupStr"	"UTM"	"MTF"	51	"LI3"	"LISS-3-R-2"
485	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	51	"LI3"	"LISS-3-R-2"
486	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	51	"LI3"	"LISS-3-R-2"
487	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	51	"LI3"	"LISS-3-R-2"
488	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"SupStr"	"ORBIT"	"NA"	52	"LI4"	"LISS-4-R-2"
489	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"SupStr"	"ORBIT"	"NA"	52	"LI4"	"LISS-4-R-2"
490	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"SupStr"	"UTM"	"MTF"	52	"LI4"	"LISS-4-R-2"
491	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	52	"LI4"	"LISS-4-R-2"
492	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	52	"LI4"	"LISS-4-R-2"
493	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	52	"LI4"	"LISS-4-R-2"
494	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"SupStr"	"ORBIT"	"NA"	53	"AWF"	"AwiFS-R-2"
495	"L1A"	"Level-1"	"Radiometrically system corrected but in Sensor Geometry"	"SupStr"	"ORBIT"	"NA"	53	"AWF"	"AwiFS-R-2"
496	"L2A"	"Level-2"	"Radiometricaly and Geometricaly system corrected and projected imagery"	"SupStr"	"UTM"	"MTF"	53	"AWF"	"AwiFS-R-2"
497	"L3A"	"Level-3"	"Orthorectified imagery   "	"TIF"	"UTM"	"CC"	53	"AWF"	"AwiFS-R-2"
498	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	53	"AWF"	"AwiFS-R-2"
499	"L3Bb"	"NA"	"Level-3 image mosaics in 1 degree tiles"	"TIF"	"UTM"	"CC"	53	"AWF"	"AwiFS-R-2"
500	"L0"	"RAW"	"Raw Data. Stagger corrections for odd-even pixel shift, line loss corrections and No radiometric or geometric corrections applied. (Source NRSA)"	"SupStr"	"ORBIT"	"NA"	54	"P-A"	"Pan-Aft-CS1"
501	"L1Aa"	"Basic-Stereo"	"Staggered corrections, line loss corrections, radiometric correction at scene level."	"TIF"	"ORBIT"	"NA"	54	"P-A"	"Pan-Aft-CS1"
502	"L1Ab"	"Orthokit"	"Radiometric corrections along with Rational Polynomial Coefficients (RPCs) (Source NRSA)"	"TIF"	"ORBIT"	"NA"	54	"P-A"	"Pan-Aft-CS1"
503	"L2B"	"Standard-Georeferenced"	"Radiometric and geometric corrections  (north-oriented) at scene level using System knowledge (Source NRSA)"	"TIF"	"UTM"	"CC"	54	"P-A"	"Pan-Aft-CS1"
504	"L3A"	"Ortho-Product"	"Terrain corrected products using GCPs and DEM (Source NRSA)"	"TIF"	"UTM"	"CC"	54	"P-A"	"Pan-Aft-CS1"
505	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	54	"P-A"	"Pan-Aft-CS1"
506	"L3Bb"	"NA"	"Level-3 image mosaics in ¼ degree tiles"	"TIF"	"UTM"	"CC"	54	"P-A"	"Pan-Aft-CS1"
507	"L4Ad"	"ELEVATION-DSM"	"Steriogrammetrically derived Digital Surface Model"	"TIF"	"UTM"	"BL"	54	"P-A"	"Pan-Aft-CS1"
508	"L0"	"RAW"	"Raw Data. Stagger corrections for odd-even pixel shift, line loss corrections and No radiometric or geometric corrections applied. (Source NRSA)"	"SupStr"	"ORBIT"	"NA"	55	"P-F"	"Pan-Fore-CS1"
509	"L1Aa"	"Basic-Stereo"	"Staggered corrections, line loss corrections, radiometric correction at scene level."	"TIF"	"ORBIT"	"NA"	55	"P-F"	"Pan-Fore-CS1"
510	"L1Ab"	"Orthokit"	"Radiometric corrections along with Rational Polynomial Coefficients (RPCs) (Source NRSA)"	"TIF"	"ORBIT"	"NA"	55	"P-F"	"Pan-Fore-CS1"
511	"L2B"	"Standard-Georeferenced"	"Radiometric and geometric corrections  (north-oriented) at scene level using System knowledge (Source NRSA)"	"TIF"	"UTM"	"CC"	55	"P-F"	"Pan-Fore-CS1"
512	"L3A"	"Ortho-Product"	"Terrain corrected products using GCPs and DEM (Source NRSA)"	"TIF"	"UTM"	"CC"	55	"P-F"	"Pan-Fore-CS1"
513	"L3Ba"	"NA"	"Level-3 image mosaics"	"TIF"	"UTM"	"CC"	55	"P-F"	"Pan-Fore-CS1"
514	"L3Bb"	"NA"	"Level-3 image mosaics in ¼ degree tiles"	"TIF"	"UTM"	"CC"	55	"P-F"	"Pan-Fore-CS1"
515	"L1Aa"	"Level-1A"	"Uncorrected data cut into scene (source RESTEC)"	"LGSOW"	"ORBIT"	"NA"	56	"PIM"	"PRISM"
516	"L1Ab"	"Level-1B1"	"Radiometrically calibrated data (source RESTEC)"	"LGSOW"	"ORBIT"	"NA"	56	"PIM"	"PRISM"
517	"L1B"	"Level-1B2"	"Geometrically Corrected Data"	"LGSOW"	"ORBIT"	"MTF"	56	"PIM"	"PRISM"
518	"L2A"	"Level-1B2R"	"Georeferenced Data"	"LGSOW"	"UTM"	"CC"	56	"PIM"	"PRISM"
519	"L2B"	"Level-1B2G"	"Geo-Coded"	"LGSOW"	"UTM"	"CC"	56	"PIM"	"PRISM"
520	"L3A"	"Ortho-Product"	"Terrain corrected products using GCPs and DEM"	"LGSOW"	"UTM"	"CC"	56	"PIM"	"PRISM"
521	"L3Ba"	"NA"	"Level-3 image mosaics"	"LGSOW"	"UTM"	"CC"	56	"PIM"	"PRISM"
522	"L3Bb"	"NA"	"Level-3 image mosaics in ¼ degree tiles"	"LGSOW"	"UTM"	"CC"	56	"PIM"	"PRISM"
523	"L4Ad"	"ELEVATION-DSM"	"Steriogrammetrically derived Digital Surface Model"	"LGSOW"	"UTM"	"CC"	56	"PIM"	"PRISM"
524	"L1Aa"	"Level-1A"	"Uncorrected data cut into scene (source RESTEC)"	"LGSOW"	"ORBIT"	"NA"	57	"AV2"	"AVNIR-2 "
525	"L1Ab"	"Level-1B1"	"Radiometrically calibrated data (source RESTEC)"	"LGSOW"	"ORBIT"	"NA"	57	"AV2"	"AVNIR-2 "
526	"L1B"	"Level-1B2"	"Geometrically Corrected Data"	"LGSOW"	"UTM"	"CC"	57	"AV2"	"AVNIR-2 "
527	"L2A"	"Level-1B2R"	"Georeferenced Data"	"LGSOW"	"UTM"	"CC"	57	"AV2"	"AVNIR-2 "
528	"L2B"	"Level-1B2G"	"Geo-Coded"	"LGSOW"	"UTM"	"CC"	57	"AV2"	"AVNIR-2 "
529	"L3A"	"Ortho-Product"	"Terrain corrected products using GCPs and DEM"	"LGSOW"	"UTM"	"CC"	57	"AV2"	"AVNIR-2 "
530	"L3Ba"	"NA"	"Level-3 image mosaics"	"LGSOW"	"UTM"	"CC"	57	"AV2"	"AVNIR-2 "
531	"L3Bb"	"NA"	"Level-3 image mosaics in ¼ degree tiles"	"LGSOW"	"UTM"	"CC"	57	"AV2"	"AVNIR-2 "
532	"L0"	"Level-1.0"	"Reconstructed, unprocessed signal data appended with radiometric and geometric correction coefficients (appended but not applied) (Source JAXA)"	"LGSOW"	"ORBIT"	"NA"	58	"PSR"	"PALSAR-1"
533	"L1A"	"Level-1.1"	"Single Look Complex Data / Range and azimuth compressed Complex data on slant range. (Source JAXA)"	"LGSOW"	"ORBIT"	"NA"	58	"PSR"	"PALSAR-1"
534	"L2A"	"Level-1.5G"	"Multi-look processed image projected to map coordinates. Latitudes and longitudes in the product are calculated without considering the altitude. [Option] G: Systematically Geo-coded (source JAXA)"	"LGSOW"	"UTM"	"ML"	58	"PSR"	"PALSAR-1"
535	"L2B"	"Level-1B2G"	"Multi-look processed image projected to map coordinates. Latitudes and longitudes in the product are calculated without considering the altitude. R: Systematically Geo-referenced (Source JAXA)"	"LGSOW"	"UTM"	"ML"	58	"PSR"	"PALSAR-1"
536	"L3A"	"ORTHO"	"Orthorectified Image (ORTHO). This high level product precisely locates and rectifies the SAR image on a map projection. Radar backscatter can be derived for geophysical modelling."	"TIF"	"UTM"	"ML"	58	"PSR"	"PALSAR-1"
537	"L4Ad"	"DSM"	"Digital Surface Model (DSM). This is a interferrometrically derived Digital Surface Model."	"TIF"	"UTM"	"BL"	58	"PSR"	"PALSAR-1"
538	"L0"	"Level-1.0"	"Reconstructed, unprocessed signal data appended with radiometric and geometric correction coefficients (appended but not applied) (Source JAXA)"	"LGSOW"	"ORBIT"	"NA"	59	"PSR"	"PALSAR-2"
539	"L1A"	"Level-1.1"	"Single Look Complex Data / Range and azimuth compressed Complex data on slant range. (Source JAXA)"	"LGSOW"	"ORBIT"	"NA"	59	"PSR"	"PALSAR-2"
540	"L2A"	"Level-1.5G"	"Multi-look processed image projected to map coordinates. Latitudes and longitudes in the product are calculated without considering the altitude. [Option] G: Systematically Geo-coded (source JAXA)"	"LGSOW"	"UTM"	"ML"	59	"PSR"	"PALSAR-2"
541	"L2B"	"Level-1B2G"	"Multi-look processed image projected to map coordinates. Latitudes and longitudes in the product are calculated without considering the altitude. R: Systematically Geo-referenced (Source JAXA)"	"LGSOW"	"UTM"	"ML"	59	"PSR"	"PALSAR-2"
542	"L3A"	"ORTHO"	"Orthorectified Image (ORTHO). This high level product precisely locates and rectifies the SAR image on a map projection. Radar backscatter can be derived for geophysical modelling."	"TIF"	"UTM"	"ML"	59	"PSR"	"PALSAR-2"
543	"L4Ad"	"DSM"	"Digital Surface Model (DSM). This is a interferrometrically derived Digital Surface Model."	"TIF"	"UTM"	"BL"	59	"PSR"	"PALSAR-2"
544	"L0"	"Level-0"	"RAW Signal Data"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
545	"L1A"	"Level-1A"	"Geolocation refinement and conversion of raw Data Numbers to Engineering Units (DN to EU). Finally, the level 1A data are collected into granules of data (six minutes of instrument data) (Source NASA)"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
546	"L1Ba"	"AIRABRAD"	"L1B AMSU-A radiances"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
547	"L1Bb"	"AIRHBRAD"	"L1B HSB radiances"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
548	"L1Bc"	"AIRIBRAD"	"L1B AIRS radiances"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
549	"L1Bd"	"AIRVBRAD"	"L1B VIS radiances"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
550	"L1Be"	"AIRIBQAP"	"L1B AIRS QA"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
551	"L1Bf"	"AIRVBQAP"	"L1B VIS QA"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
552	"L2Aa"	"AIRI2CCF"	"L2 Cloud-cleared radiances"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
553	"L2Ab"	"AIRX2RET"	"L2 Standard Product"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
554	"L2Ac"	"AIRX2SUP"	"L2 Support Product"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
555	"L3Ad"	"airx3std"	"L3 standard daily product. AIRS Level 3 products are a direct representation of the lower level datasets; the underlying geophysical values are retained in Level 3. In addition, counts and standard deviations are carried forth in the AIRS Level 3 products as well as the mean value per grid cell"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
556	"L3A8"	"airx3st8"	"L3 8-day standard product. AIRS Level 3 products are a direct representation of the lower level datasets; the underlying geophysical values are retained in Level 3. In addition, counts and standard deviations are carried forth in the AIRS Level 3 products as well as the mean value per grid cell"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
557	"L3Am"	"airx3stm"	"L3 monthly standard product. AIRS Level 3 products are a direct representation of the lower level datasets; the underlying geophysical values are retained in Level 3. In addition, counts and standard deviations are carried forth in the AIRS Level 3 products as well as the mean value per grid cell"	"HDF"	"ORBIT"	"NA"	60	"AIS"	"AIRS"
558	"L1B"	"MYD02"		"HDF"	"ORBIT"	"NA"	61	"MYD"	"MODIS-AQA"
559	"09A1"	"MYD09A1"	"Surface Reflectance Bands 1–7 Tile 500m 8 Day composite"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
560	"09CM"	"MYD09CMG"	"Surface Reflectance Bands 1–7 CMG 5600m Daily"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
561	"09GA"	"MYD09GA"	"Surface Reflectance Bands 1–7 Tile 500/1000m Daily"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
562	"09GQ"	"MYD09GQ"	"Surface Reflectance Bands 1–2 Tile 250m Daily"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
563	"09Q1"	"MYD09Q1"	"Surface Reflectance Bands 1–2 Tile 250m 8 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
564	"11L2"	"MYD11_L2"	"Land Surface Temperature & Emissivity Swath 1000m 5 Min"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
565	"11A1"	"MYD11A1"	"Land Surface Temperature & Emissivity Tile 1000m Daily"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
566	"11A2"	"MYD11A2"	"Land Surface Temperature & Emissivity Tile 1000m 8 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
567	"11B1"	"MYD11B1"	"Land Surface Temperature & Emissivity Tile 6000m Daily"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
568	"11C1"	"MYD11C1"	"Land Surface Temperature & Emissivity CMG 5600m Daily"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
569	"11C2"	"MYD11C2"	"Land Surface Temperature & Emissivity CMG 5600m 8 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
570	"11C3"	"MYD11C3"	"Land Surface Temperature & Emissivity CMG 5600m Monthly"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
571	"13A1"	"MYD13A1"	"Vegetation Indices Tile 500m 16 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
572	"13A2"	"MYD13A2"	"Vegetation Indices Tile 1000m 16 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
573	"13A3"	"MYD13A3"	"Vegetation Indices Tile 1000m Monthly"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
574	"13C1"	"MYD13C1"	"Vegetation Indices CMG 5600 m16 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
575	"13C2"	"MYD13C2"	"Vegetation Indices CMG 5600m Monthly"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
576	"13Q1"	"MYD13Q1"	"Vegetation Indices Tile 250m 16 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
577	14	"MYD14"	"Thermal Anomalies & Fire Swath 1000m 5 Min"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
578	"14A1"	"MYD14A1"	"Thermal Anomalies & Fire Tile 1000m Daily"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
579	"14A2"	"MYD14A2"	"Thermal Anomalies & Fire Tile 1000m 8 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
580	"15A2"	"MYD15A2"	"Leaf Area Index – FPAR Tile 1000m 8 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
581	"17A2"	"MYD17A2"	"Gross Primary Productivity Tile 1000m 8 Day"	"HDF"	"Sinusoidal"	"MTF"	61	"MYD"	"MODIS-AQA"
582	"L0"	"Level-0"	"Raw Instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"HDF"	"ORBIT"	"NA"	62	"AST"	"ASTER-TER"
583	"L1Aa"	"Level-1A"	"Level-1A raw data are reconstructed from Level-0, and are unprocessed instrument digital counts. This product contains depacketized, demultiplexed and realigned instrument image data with geometric correction coefficients and radiometric calibration coefficients appended but not applied."	"HDF"	"ORBIT"	"NA"	62	"AST"	"ASTER-TER"
